cluster,annotation,confidence,best_score,runner_up_score,pan_EC_score
0,arterial_EC_mixed,low,0.2213,0.2178,0.0802
1,arterial_EC,high,0.5407,0.2781,0.0884
2,pericyte_mixed,low,0.3576,0.3125,0.0781
3,venous_EC,high,0.9693,0.5451,1.2664
4,lymphatic_EC,high,1.4587,0.1331,1.0986
5,pericyte,high,0.5949,0.1768,0.0139
6,arterial_EC,high,0.809,0.5496,1.3481
7,pericyte,high,0.1264,0.0594,0.0563
8,arterial_EC_mixed,low,0.0594,0.0578,0.0277
9,pericyte,high,0.1574,0.1089,0.0777
10,capillary_EC_mixed,low,0.8629,0.7781,1.0038
11,pericyte,high,1.0361,0.0706,0.0125
12,pericyte_mixed,low,0.0492,0.0465,0.0622
13,capillary_EC,high,0.2282,0.0669,0.1821
14,capillary_EC,high,0.2237,0.1538,0.1174
15,pericyte,high,0.9802,0.26,0.0419
16,capillary_EC,high,0.3567,0.1414,0.1079
17,capillary_EC,high,0.2648,0.0213,0.1612
